DELIVERY_DATE,HOUR_ENDING,ACTUAL_SYSTEM_WIDE,COP_HSL_SYSTEM_WIDE,STPPF_SYSTEM_WIDE,PVGRPP_SYSTEM_WIDE,DSTFlag
1/9/2022,22,0.16,0,0,0,N
1/9/2022,23,0.16,0,0,0,N
1/10/2022,0,0.05,0,0,0,N
1/10/2022,1,0.16,0,0,0,N
1/10/2022,2,0.16,0,0,0,N
1/10/2022,3,0.16,0,0,0,N
1/10/2022,4,0.16,0,0,0,N
1/10/2022,5,0.16,0,0,0,N
1/10/2022,6,0.16,0,0,0,N
1/10/2022,7,0.16,0,0,0,N
1/10/2022,8,32.24,41.9,43.5,21.1,N
1/10/2022,9,1063.81,980.9,1017.2,620.1,N
1/10/2022,10,3013.24,3747.3,3755.7,2579.2,N
1/10/2022,11,3734.58,4898.2,4507.5,3290.5,N
1/10/2022,12,4582.09,5291.4,4484.4,3478.1,N
1/10/2022,13,4635.97,5440.7,4964.2,4044.6,N
1/10/2022,14,4683.83,5127,4738.3,3721.1,N
1/10/2022,15,4835.64,4907,4672.3,3607.1,N
1/10/2022,16,3863.23,4407.3,4383.6,3184.3,N
1/10/2022,17,2646.02,2550.7,2500.4,1417.5,N
1/10/2022,18,399.62,495.7,544.9,170.6,N
1/10/2022,19,0.06,0.2,0.4,0.1,N
1/10/2022,20,0.09,0,0,0,N
1/10/2022,21,0.09,0,0,0,N
1/10/2022,22,0.06,0,0,0,N
1/10/2022,23,0.05,0,0,0,N
1/11/2022,0,0.06,0,0,0,N
1/11/2022,1,0.04,0,0,0,N
1/11/2022,2,0.05,0,0,0,N
1/11/2022,3,0.07,0,0,0,N
1/11/2022,4,0.07,0,0,0,N
1/11/2022,5,0.06,0,0,0,N
1/11/2022,6,0.05,0,0,0,N
1/11/2022,7,0.04,0,0,0,N
1/11/2022,8,43.5,45.8,48.1,25.7,N
1/11/2022,9,983.24,784.4,815.2,471.1,N
1/11/2022,10,3046.34,2945.1,3072.5,1891.1,N
1/11/2022,11,3869.53,4160.9,4291.9,2783.1,N
1/11/2022,12,4815.18,4647.7,4457,3182.1,N
1/11/2022,13,4970.94,5103.9,5089.5,4046.2,N
1/11/2022,14,4952.38,5164.1,5260.3,4252.2,N
1/11/2022,15,5368.23,5422.7,5272.9,4119.9,N
1/11/2022,16,5104.3,5201,5235.7,3757.6,N
1/11/2022,17,3161.7,3557.2,3693.2,2452,N
1/11/2022,18,663.83,707.7,697.6,306.2,N
1/11/2022,19,2.34,1.6,2.6,0.8,N
1/11/2022,20,0.06,0,0,0,N
1/11/2022,21,0.06,0,0,0,N
1/11/2022,22,0.06,0,0,0,N
1/11/2022,23,0.06,0,0,0,N
1/12/2022,0,0.11,0,0,0,N
1/12/2022,1,0.06,0,0,0,N
1/12/2022,2,0.06,0,0,0,N
1/12/2022,3,0.06,0,0,0,N
1/12/2022,4,0.06,0,0,0,N
1/12/2022,5,0.06,0,0,0,N
1/12/2022,6,0.06,0,0,0,N
1/12/2022,7,0.06,0,0,0,N
1/12/2022,8,12.77,34.4,35,14.7,N
1/12/2022,9,1910.3,881.6,1099.1,697,N
1/12/2022,10,5703.16,5173.4,5625.6,4526.1,N
1/12/2022,11,6257.32,6478.5,6915.9,5869,N
1/12/2022,12,6259.98,6500.5,6306.8,5490,N
1/12/2022,13,6108.19,6509.2,6229,5555.6,N
1/12/2022,14,6292.97,6400.8,6273.6,5617.5,N
1/12/2022,15,6486.08,6648.8,6575.4,5850.5,N
1/12/2022,16,6764.76,6687.3,6599.1,5745.1,N
1/12/2022,17,5486.3,4752.9,4816,3864.5,N
1/12/2022,18,1353.61,900.9,1078.2,655.9,N
1/12/2022,19,0.41,2.2,10.3,7.8,N
1/12/2022,20,0.05,0,0,0,N
1/12/2022,21,0.07,0,0,0,N
1/12/2022,22,0.08,0,0,0,N
1/12/2022,23,0.11,0,0,0,N
1/13/2022,0,0.16,0,0,0,N
1/13/2022,1,0.12,0,0,0,N
1/13/2022,2,0.12,0,0,0,N
1/13/2022,3,0.12,0,0,0,N
1/13/2022,4,0.12,0,0,0,N
1/13/2022,5,0.13,0,0,0,N
1/13/2022,6,0.13,0,0,0,N
1/13/2022,7,0.13,0,0,0,N
1/13/2022,8,58.02,60.3,60,31.1,N
1/13/2022,9,2598.61,1557.4,1451.1,982,N
1/13/2022,10,6600.91,5959.1,6657.6,5579.4,N
1/13/2022,11,7000.8,7158.8,7685.2,6796.2,N
1/13/2022,12,6714.64,7120.3,6977,6278,N
1/13/2022,13,6473.68,6993.9,6642.2,6052,N
