OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
1/7/2022,17:00,18007.66,13201.74,5676.16,12209.31,49094.86,N
1/7/2022,18:00,18464.8,13502.14,5713.32,12302.52,49982.78,N
1/7/2022,19:00,18732.71,13995.9,5976.76,12398.53,51103.91,N
1/7/2022,20:00,18471.94,13927.36,6031.9,12111.85,50543.05,N
1/7/2022,21:00,17981.46,13622.91,6038.7,11847.99,49491.06,N
1/7/2022,22:00,17329.8,13171.91,5975.9,11517.81,47995.43,N
1/7/2022,23:00,16435.91,12581.96,5885.82,11064.28,45967.97,N
1/8/2022,0:00:00,12206.66,9497.46,5345.8,10420.4,37470.32,N
1/8/2022,1:00,14930.33,11346.12,5751.19,10141.98,42169.62,N
1/8/2022,2:00,14486.05,10996.5,5723.55,9872.66,41078.77,N
1/8/2022,3:00,14207.42,10724.67,5707.19,9687.84,40327.12,N
1/8/2022,4:00,14111.28,10602.03,5685.13,9618.37,40016.82,N
1/8/2022,5:00,14180.08,10541.49,5687.41,9534.45,39943.43,N
1/8/2022,6:00,14488.87,10669.66,5723.82,9606.9,40489.24,N
1/8/2022,7:00,14952.4,10906.35,5767.03,9804.15,41429.92,N
1/8/2022,8:00,15461.09,11167.23,5814.59,10015.93,42458.84,N
1/8/2022,9:00,16024.65,11521.31,5825.11,10238.32,43609.39,N
1/8/2022,10:00,16433.3,11684.28,5752.75,10491.56,44361.89,N
1/8/2022,11:00,16684.15,11678.32,5672.85,10684.91,44720.24,N
1/8/2022,12:00,16588.79,11462.55,5588.17,10825.77,44465.28,N
1/8/2022,13:00,16347.07,11157.82,5525.03,10896.85,43926.77,N
1/8/2022,14:00,15913.74,10858.59,5486.91,10929.45,43188.69,N
1/8/2022,15:00,15473.36,10554.46,5456.58,10912.38,42396.78,N
1/8/2022,16:00,15053.98,10439.7,5444.95,10870.58,41809.22,N
1/8/2022,17:00,14850.93,10417.93,5462.68,10889.03,41620.57,N
1/8/2022,18:00,14911.8,10564.97,5531.07,10971.77,41979.62,N
1/8/2022,19:00,14889.15,10860.94,5699.19,11187.47,42636.74,N
1/8/2022,20:00,14508.59,10801.84,5599.31,11187.28,42097.03,N
1/8/2022,21:00,14041.69,10557.55,5493.01,11124.62,41216.87,N
1/8/2022,22:00,13552.16,10324.06,5472.48,10975.3,40324.01,N
1/8/2022,23:00,12954.19,9933.72,5415.9,10718.79,39022.61,N
1/9/2022,0:00:00,15011.8,10078.26,5906.06,9641.19,40637.31,N
1/9/2022,1:00,11550.28,9098.47,5289.14,10105.67,36043.56,N
1/9/2022,2:00,11176.19,8830.55,5282.54,9797.5,35086.78,N
1/9/2022,3:00,11003.19,8645.64,5332.78,9615.5,34597.12,N
1/9/2022,4:00,11004.48,8621.44,5383.61,9483.36,34492.89,N
1/9/2022,5:00,11114.81,8611.07,5430.88,9393.82,34550.58,N
1/9/2022,6:00,11463.21,8696.18,5508.42,9429.17,35096.98,N
1/9/2022,7:00,12028.91,8886.07,5565.44,9539.19,36019.61,N
1/9/2022,8:00,12666.69,9178.2,5688.06,9639.51,37172.47,N
1/9/2022,9:00,13418.02,9475.34,5723.92,9908.81,38526.09,N
1/9/2022,10:00,14121.04,9802.87,5815.96,10371.81,40111.68,N
1/9/2022,11:00,14734.72,9919.69,5871.15,10799.16,41324.71,N
1/9/2022,12:00,15145.6,10063.14,5848.34,11132.36,42189.44,N
1/9/2022,13:00,15373.41,10115.13,5665.29,11288.95,42442.78,N
1/9/2022,14:00,15327.45,10143.71,5720.7,11405.4,42597.27,N
1/9/2022,15:00,15040.65,10152.88,5789.49,11428.02,42411.05,N
1/9/2022,16:00,14884.06,10186.74,5707.21,11277.76,42055.75,N
1/9/2022,17:00,14942.71,10347.6,5757.33,11075.4,42123.04,N
1/9/2022,18:00,15731.57,10696.28,5853.05,11015.84,43296.75,N
1/9/2022,19:00,16623.84,11333.39,6005.64,11204.14,45167.01,N
1/9/2022,20:00,16849.12,11486.27,6063.89,11015.89,45415.18,N
1/9/2022,21:00,16723.32,11331.04,6074.91,10815.08,44944.35,N
1/9/2022,22:00,16314.73,11123.64,6043.05,10530.63,44012.06,N
1/9/2022,23:00,15643.77,10587.33,5982.18,10093.06,42306.33,N
1/10/2022,0:00:00,16251.68,11040.56,5828.44,10541.4,43662.08,N
1/10/2022,1:00,14620.51,9726.06,5861.42,9311.91,39519.91,N
1/10/2022,2:00,14627.31,9586.55,5872.33,9116.89,39203.08,N
1/10/2022,3:00,14842.24,9591.56,5907,9043.92,39384.73,N
1/10/2022,4:00,15238.5,9655.28,5887.4,9131.42,39912.6,N
1/10/2022,5:00,15972.47,9984.57,5943.03,9329.18,41229.25,N
1/10/2022,6:00,17328.02,10815.02,6078.09,9870.44,44091.57,N
1/10/2022,7:00,19283.9,12095.74,6274.65,10703.92,48358.2,N
1/10/2022,8:00,20443.96,12872.03,6400.63,11268.59,50985.21,N
1/10/2022,9:00,20347.69,12980.8,6347.64,11444.46,51120.59,N
1/10/2022,10:00,19375.94,12860.92,6223.25,11489.4,49949.51,N
1/10/2022,11:00,18402.3,12458.69,6133.3,11471.84,48466.12,N
